ATKMSG_M_000=(!)
ATKMSG_Y_000=(!)
ATKMSG_E_000=(!)
ATKMSG_N_000=(!)
ATKMSG_M_001=¡{0x0101,0x0000} ha usado Destructor!
ATKMSG_E_176=¡El {0x0101,0x0000} enemigo ha usado Conversión2!
ATKMSG_N_176=¡El {0x0101,0x0000} dominante ha usado Conversión2!
ATKMSG_M_177=¡{0x0101,0x0000} ha usado Aerochorro!
ATKMSG_Y_177=¡El {0x0101,0x0000} salvaje ha usado Aerochorro!
ATKMSG_E_177=¡El {0x0101,0x0000} enemigo ha usado Aerochorro!
ATKMSG_N_177=¡El {0x0101,0x0000} dominante ha usado Aerochorro!
ATKMSG_M_178=¡{0x0101,0x0000} ha usado Esporagodón!
ATKMSG_Y_178=¡El {0x0101,0x0000} salvaje ha usado Esporagodón!
ATKMSG_E_178=¡El {0x0101,0x0000} enemigo ha usado Esporagodón!
ATKMSG_N_178=¡El {0x0101,0x0000} dominante ha usado Esporagodón!
ATKMSG_M_179=¡{0x0101,0x0000} ha usado Inversión!
ATKMSG_Y_179=¡El {0x0101,0x0000} salvaje ha usado Inversión!
ATKMSG_E_179=¡El {0x0101,0x0000} enemigo ha usado Inversión!
ATKMSG_N_179=¡El {0x0101,0x0000} dominante ha usado Inversión!
ATKMSG_M_180=¡{0x0101,0x0000} ha usado Rencor!
ATKMSG_Y_180=¡El {0x0101,0x0000} salvaje ha usado Rencor!
ATKMSG_E_180=¡El {0x0101,0x0000} enemigo ha usado Rencor!
ATKMSG_N_180=¡El {0x0101,0x0000} dominante ha usado Rencor!
ATKMSG_M_181=¡{0x0101,0x0000} ha usado Nieve Polvo!
ATKMSG_Y_181=¡El {0x0101,0x0000} salvaje ha usado Nieve Polvo!
ATKMSG_E_181=¡El {0x0101,0x0000} enemigo ha usado Nieve Polvo!
ATKMSG_N_181=¡El {0x0101,0x0000} dominante ha usado Nieve Polvo!
ATKMSG_M_182=¡{0x0101,0x0000} ha usado Protección!
ATKMSG_Y_182=¡El {0x0101,0x0000} salvaje ha usado Protección!
ATKMSG_E_182=¡El {0x0101,0x0000} enemigo ha usado Protección!
ATKMSG_N_182=¡El {0x0101,0x0000} dominante ha usado Protección!
ATKMSG_M_183=¡{0x0101,0x0000} ha usado Ultrapuño!
ATKMSG_Y_183=¡El {0x0101,0x0000} salvaje ha usado Ultrapuño!
ATKMSG_E_183=¡El {0x0101,0x0000} enemigo ha usado Ultrapuño!
ATKMSG_N_183=¡El {0x0101,0x0000} dominante ha usado Ultrapuño!
ATKMSG_M_184=¡{0x0101,0x0000} ha usado Cara Susto!
ATKMSG_Y_184=¡El {0x0101,0x0000} salvaje ha usado Cara Susto!
ATKMSG_E_184=¡El {0x0101,0x0000} enemigo ha usado Cara Susto!
ATKMSG_N_184=¡El {0x0101,0x0000} dominante ha usado Cara Susto!
ATKMSG_M_185=¡{0x0101,0x0000} ha usado Finta!
ATKMSG_Y_185=¡El {0x0101,0x0000} salvaje ha usado Finta!
ATKMSG_E_185=¡El {0x0101,0x0000} enemigo ha usado Finta!
ATKMSG_N_185=¡El {0x0101,0x0000} dominante ha usado Finta!
ATKMSG_M_186=¡{0x0101,0x0000} ha usado Beso Dulce!
ATKMSG_Y_186=¡El {0x0101,0x0000} salvaje ha usado Beso Dulce!
ATKMSG_E_186=¡El {0x0101,0x0000} enemigo ha usado Beso Dulce!
ATKMSG_N_186=¡El {0x0101,0x0000} dominante ha usado Beso Dulce!
ATKMSG_M_187=¡{0x0101,0x0000} ha usado Tambor!
ATKMSG_Y_187=¡El {0x0101,0x0000} salvaje ha usado Tambor!
ATKMSG_E_187=¡El {0x0101,0x0000} enemigo ha usado Tambor!
ATKMSG_N_187=¡El {0x0101,0x0000} dominante ha usado Tambor!
ATKMSG_M_188=¡{0x0101,0x0000} ha usado Bomba Lodo!
ATKMSG_Y_188=¡El {0x0101,0x0000} salvaje ha usado Bomba Lodo!
ATKMSG_E_188=¡El {0x0101,0x0000} enemigo ha usado Bomba Lodo!
ATKMSG_N_188=¡El {0x0101,0x0000} dominante ha usado Bomba Lodo!
ATKMSG_M_189=¡{0x0101,0x0000} ha usado Bofetón Lodo!
ATKMSG_Y_189=¡El {0x0101,0x0000} salvaje ha usado Bofetón Lodo!
ATKMSG_E_189=¡El {0x0101,0x0000} enemigo ha usado Bofetón Lodo!
ATKMSG_N_189=¡El {0x0101,0x0000} dominante ha usado Bofetón Lodo!
ATKMSG_M_190=¡{0x0101,0x0000} ha usado Pulpocañón!
ATKMSG_Y_190=¡El {0x0101,0x0000} salvaje ha usado Pulpocañón!
ATKMSG_E_190=¡El {0x0101,0x0000} enemigo ha usado Pulpocañón!
ATKMSG_N_190=¡El {0x0101,0x0000} dominante ha usado Pulpocañón!
ATKMSG_M_191=¡{0x0101,0x0000} ha usado Púas!
ATKMSG_Y_191=¡El {0x0101,0x0000} salvaje ha usado Púas!
ATKMSG_E_191=¡El {0x0101,0x0000} enemigo ha usado Púas!
ATKMSG_N_191=¡El {0x0101,0x0000} dominante ha usado Púas!
ATKMSG_M_192=¡{0x0101,0x0000} ha usado Electrocañón!
ATKMSG_Y_192=¡El {0x0101,0x0000} salvaje ha usado Electrocañón!
ATKMSG_E_192=¡El {0x0101,0x0000} enemigo ha usado Electrocañón!
ATKMSG_N_192=¡El {0x0101,0x0000} dominante ha usado Electrocañón!
ATKMSG_M_193=¡{0x0101,0x0000} ha usado Profecía!
ATKMSG_Y_193=¡El {0x0101,0x0000} salvaje ha usado Profecía!
ATKMSG_E_193=¡El {0x0101,0x0000} enemigo ha usado Profecía!
ATKMSG_N_193=¡El {0x0101,0x0000} dominante ha usado Profecía!
ATKMSG_M_194=¡{0x0101,0x0000} ha usado Mismo Destino!
ATKMSG_Y_194=¡El {0x0101,0x0000} salvaje ha usado Mismo Destino!
ATKMSG_E_194=¡El {0x0101,0x0000} enemigo ha usado Mismo Destino!
ATKMSG_N_194=¡El {0x0101,0x0000} dominante ha usado Mismo Destino!
ATKMSG_M_195=¡{0x0101,0x0000} ha usado Canto Mortal!
ATKMSG_Y_195=¡El {0x0101,0x0000} salvaje ha usado Canto Mortal!
ATKMSG_E_195=¡El {0x0101,0x0000} enemigo ha usado Canto Mortal!
ATKMSG_N_195=¡El {0x0101,0x0000} dominante ha usado Canto Mortal!
ATKMSG_M_196=¡{0x0101,0x0000} ha usado Viento Hielo!
ATKMSG_Y_196=¡El {0x0101,0x0000} salvaje ha usado Viento Hielo!
ATKMSG_E_196=¡El {0x0101,0x0000} enemigo ha usado Viento Hielo!
ATKMSG_N_196=¡El {0x0101,0x0000} dominante ha usado Viento Hielo!
ATKMSG_M_197=¡{0x0101,0x0000} ha usado Detección!
ATKMSG_Y_197=¡El {0x0101,0x0000} salvaje ha usado Detección!
ATKMSG_E_197=¡El {0x0101,0x0000} enemigo ha usado Detección!
ATKMSG_N_197=¡El {0x0101,0x0000} dominante ha usado Detección!
ATKMSG_M_198=¡{0x0101,0x0000} ha usado Ataque Óseo!
ATKMSG_Y_198=¡El {0x0101,0x0000} salvaje ha usado Ataque Óseo!
ATKMSG_E_198=¡El {0x0101,0x0000} enemigo ha usado Ataque Óseo!
ATKMSG_N_198=¡El {0x0101,0x0000} dominante ha usado Ataque Óseo!
ATKMSG_M_199=¡{0x0101,0x0000} ha usado Fijar Blanco!
ATKMSG_Y_199=¡El {0x0101,0x0000} salvaje ha usado Fijar Blanco!
ATKMSG_E_199=¡El {0x0101,0x0000} enemigo ha usado Fijar Blanco!
ATKMSG_N_199=¡El {0x0101,0x0000} dominante ha usado Fijar Blanco!
ATKMSG_M_200=¡{0x0101,0x0000} ha usado Enfado!
ATKMSG_Y_200=¡El {0x0101,0x0000} salvaje ha usado Enfado!
ATKMSG_E_200=¡El {0x0101,0x0000} enemigo ha usado Enfado!
ATKMSG_N_200=¡El {0x0101,0x0000} dominante ha usado Enfado!
ATKMSG_M_201=¡{0x0101,0x0000} ha usado Tormenta de Arena!
ATKMSG_Y_201=¡El {0x0101,0x0000} salvaje ha usado Tormenta de Arena!
ATKMSG_E_201=¡El {0x0101,0x0000} enemigo ha usado Tormenta de Arena!
ATKMSG_N_201=¡El {0x0101,0x0000} dominante ha usado Tormenta de Arena!
ATKMSG_M_202=¡{0x0101,0x0000} ha usado Gigadrenado!
ATKMSG_Y_202=¡El {0x0101,0x0000} salvaje ha usado Gigadrenado!
ATKMSG_E_202=¡El {0x0101,0x0000} enemigo ha usado Gigadrenado!
ATKMSG_N_202=¡El {0x0101,0x0000} dominante ha usado Gigadrenado!
ATKMSG_M_203=¡{0x0101,0x0000} ha usado Aguante!
ATKMSG_Y_203=¡El {0x0101,0x0000} salvaje ha usado Aguante!
ATKMSG_E_203=¡El {0x0101,0x0000} enemigo ha usado Aguante!
ATKMSG_N_203=¡El {0x0101,0x0000} dominante ha usado Aguante!
ATKMSG_M_204=¡{0x0101,0x0000} ha usado Encanto!
ATKMSG_Y_204=¡El {0x0101,0x0000} salvaje ha usado Encanto!
ATKMSG_E_204=¡El {0x0101,0x0000} enemigo ha usado Encanto!
ATKMSG_N_204=¡El {0x0101,0x0000} dominante ha usado Encanto!
ATKMSG_M_205=¡{0x0101,0x0000} ha usado Desenrollar!
ATKMSG_Y_205=¡El {0x0101,0x0000} salvaje ha usado Desenrollar!
ATKMSG_E_205=¡El {0x0101,0x0000} enemigo ha usado Desenrollar!
ATKMSG_N_205=¡El {0x0101,0x0000} dominante ha usado Desenrollar!
ATKMSG_M_206=¡{0x0101,0x0000} ha usado Falsotortazo!
ATKMSG_Y_206=¡El {0x0101,0x0000} salvaje ha usado Falsotortazo!
ATKMSG_E_206=¡El {0x0101,0x0000} enemigo ha usado Falsotortazo!
ATKMSG_N_206=¡El {0x0101,0x0000} dominante ha usado Falsotortazo!
ATKMSG_M_207=¡{0x0101,0x0000} ha usado Contoneo!
ATKMSG_Y_207=¡El {0x0101,0x0000} salvaje ha usado Contoneo!
ATKMSG_E_207=¡El {0x0101,0x0000} enemigo ha usado Contoneo!
ATKMSG_N_207=¡El {0x0101,0x0000} dominante ha usado Contoneo!
ATKMSG_M_208=¡{0x0101,0x0000} ha usado Batido!
ATKMSG_Y_208=¡El {0x0101,0x0000} salvaje ha usado Batido!
ATKMSG_E_208=¡El {0x0101,0x0000} enemigo ha usado Batido!
ATKMSG_N_208=¡El {0x0101,0x0000} dominante ha usado Batido!
ATKMSG_M_209=¡{0x0101,0x0000} ha usado Chispa!
ATKMSG_Y_209=¡El {0x0101,0x0000} salvaje ha usado Chispa!
ATKMSG_E_209=¡El {0x0101,0x0000} enemigo ha usado Chispa!
ATKMSG_N_209=¡El {0x0101,0x0000} dominante ha usado Chispa!
ATKMSG_M_210=¡{0x0101,0x0000} ha usado Corte Furia!
ATKMSG_Y_210=¡El {0x0101,0x0000} salvaje ha usado Corte Furia!
ATKMSG_E_210=¡El {0x0101,0x0000} enemigo ha usado Corte Furia!
ATKMSG_N_210=¡El {0x0101,0x0000} dominante ha usado Corte Furia!
ATKMSG_M_211=¡{0x0101,0x0000} ha usado Ala de Acero!
ATKMSG_Y_211=¡El {0x0101,0x0000} salvaje ha usado Ala de Acero!
ATKMSG_E_211=¡El {0x0101,0x0000} enemigo ha usado Ala de Acero!
ATKMSG_N_211=¡El {0x0101,0x0000} dominante ha usado Ala de Acero!
ATKMSG_M_212=¡{0x0101,0x0000} ha usado Mal de Ojo!
ATKMSG_Y_212=¡El {0x0101,0x0000} salvaje ha usado Mal de Ojo!
ATKMSG_E_212=¡El {0x0101,0x0000} enemigo ha usado Mal de Ojo!
ATKMSG_N_212=¡El {0x0101,0x0000} dominante ha usado Mal de Ojo!
ATKMSG_M_213=¡{0x0101,0x0000} ha usado Atracción!
ATKMSG_Y_213=¡El {0x0101,0x0000} salvaje ha usado Atracción!
ATKMSG_E_213=¡El {0x0101,0x0000} enemigo ha usado Atracción!
ATKMSG_N_213=¡El {0x0101,0x0000} dominante ha usado Atracción!
ATKMSG_M_214=¡{0x0101,0x0000} ha usado Sonámbulo!
ATKMSG_Y_214=¡El {0x0101,0x0000} salvaje ha usado Sonámbulo!
ATKMSG_E_214=¡El {0x0101,0x0000} enemigo ha usado Sonámbulo!
ATKMSG_N_214=¡El {0x0101,0x0000} dominante ha usado Sonámbulo!
ATKMSG_M_215=¡{0x0101,0x0000} ha usado Campana Cura!
ATKMSG_Y_215=¡El {0x0101,0x0000} salvaje ha usado Campana Cura!
ATKMSG_E_215=¡El {0x0101,0x0000} enemigo ha usado Campana Cura!
ATKMSG_N_215=¡El {0x0101,0x0000} dominante ha usado Campana Cura!
ATKMSG_M_216=¡{0x0101,0x0000} ha usado Retribución!
ATKMSG_Y_216=¡El {0x0101,0x0000} salvaje ha usado Retribución!
ATKMSG_E_216=¡El {0x0101,0x0000} enemigo ha usado Retribución!
ATKMSG_N_216=¡El {0x0101,0x0000} dominante ha usado Retribución!
ATKMSG_M_217=¡{0x0101,0x0000} ha usado Presente!
ATKMSG_Y_217=¡El {0x0101,0x0000} salvaje ha usado Presente!
ATKMSG_E_217=¡El {0x0101,0x0000} enemigo ha usado Presente!
ATKMSG_N_217=¡El {0x0101,0x0000} dominante ha usado Presente!
ATKMSG_M_218=¡{0x0101,0x0000} ha usado Frustración!
ATKMSG_Y_218=¡El {0x0101,0x0000} salvaje ha usado Frustración!
ATKMSG_E_218=¡El {0x0101,0x0000} enemigo ha usado Frustración!
ATKMSG_N_218=¡El {0x0101,0x0000} dominante ha usado Frustración!
ATKMSG_M_219=¡{0x0101,0x0000} ha usado Velo Sagrado!
ATKMSG_Y_219=¡El {0x0101,0x0000} salvaje ha usado Velo Sagrado!
ATKMSG_E_219=¡El {0x0101,0x0000} enemigo ha usado Velo Sagrado!
ATKMSG_N_219=¡El {0x0101,0x0000} dominante ha usado Velo Sagrado!
ATKMSG_M_220=¡{0x0101,0x0000} ha usado Divide Dolor!
ATKMSG_Y_220=¡El {0x0101,0x0000} salvaje ha usado Divide Dolor!
ATKMSG_E_220=¡El {0x0101,0x0000} enemigo ha usado Divide Dolor!
ATKMSG_N_220=¡El {0x0101,0x0000} dominante ha usado Divide Dolor!
ATKMSG_M_221=¡{0x0101,0x0000} ha usado Fuego Sagrado!
ATKMSG_Y_221=¡El {0x0101,0x0000} salvaje ha usado Fuego Sagrado!
ATKMSG_E_221=¡El {0x0101,0x0000} enemigo ha usado Fuego Sagrado!
ATKMSG_N_221=¡El {0x0101,0x0000} dominante ha usado Fuego Sagrado!
ATKMSG_M_222=¡{0x0101,0x0000} ha usado Magnitud!
ATKMSG_Y_222=¡El {0x0101,0x0000} salvaje ha usado Magnitud!
ATKMSG_E_222=¡El {0x0101,0x0000} enemigo ha usado Magnitud!
ATKMSG_N_222=¡El {0x0101,0x0000} dominante ha usado Magnitud!
ATKMSG_M_223=¡{0x0101,0x0000} ha usado Puño Dinámico!
ATKMSG_Y_223=¡El {0x0101,0x0000} salvaje ha usado Puño Dinámico!
ATKMSG_E_223=¡El {0x0101,0x0000} enemigo ha usado Puño Dinámico!
ATKMSG_N_223=¡El {0x0101,0x0000} dominante ha usado Puño Dinámico!
ATKMSG_M_224=¡{0x0101,0x0000} ha usado Megacuerno!
ATKMSG_Y_224=¡El {0x0101,0x0000} salvaje ha usado Megacuerno!
ATKMSG_E_224=¡El {0x0101,0x0000} enemigo ha usado Megacuerno!
ATKMSG_N_224=¡El {0x0101,0x0000} dominante ha usado Megacuerno!
ATKMSG_M_225=¡{0x0101,0x0000} ha usado Dragoaliento!
ATKMSG_Y_225=¡El {0x0101,0x0000} salvaje ha usado Dragoaliento!
ATKMSG_E_225=¡El {0x0101,0x0000} enemigo ha usado Dragoaliento!
ATKMSG_N_225=¡El {0x0101,0x0000} dominante ha usado Dragoaliento!
ATKMSG_M_226=¡{0x0101,0x0000} ha usado Relevo!
ATKMSG_Y_226=¡El {0x0101,0x0000} salvaje ha usado Relevo!
ATKMSG_E_226=¡El {0x0101,0x0000} enemigo ha usado Relevo!
ATKMSG_N_226=¡El {0x0101,0x0000} dominante ha usado Relevo!
ATKMSG_M_227=¡{0x0101,0x0000} ha usado Otra Vez!
ATKMSG_Y_227=¡El {0x0101,0x0000} salvaje ha usado Otra Vez!
ATKMSG_E_227=¡El {0x0101,0x0000} enemigo ha usado Otra Vez!
ATKMSG_N_227=¡El {0x0101,0x0000} dominante ha usado Otra Vez!
ATKMSG_M_228=¡{0x0101,0x0000} ha usado Persecución!
ATKMSG_Y_228=¡El {0x0101,0x0000} salvaje ha usado Persecución!
ATKMSG_E_228=¡El {0x0101,0x0000} enemigo ha usado Persecución!
ATKMSG_N_228=¡El {0x0101,0x0000} dominante ha usado Persecución!
ATKMSG_M_229=¡{0x0101,0x0000} ha usado Giro Rápido!
ATKMSG_Y_229=¡El {0x0101,0x0000} salvaje ha usado Giro Rápido!
ATKMSG_E_229=¡El {0x0101,0x0000} enemigo ha usado Giro Rápido!
ATKMSG_N_229=¡El {0x0101,0x0000} dominante ha usado Giro Rápido!
ATKMSG_M_230=¡{0x0101,0x0000} ha usado Dulce Aroma!
ATKMSG_Y_230=¡El {0x0101,0x0000} salvaje ha usado Dulce Aroma!
ATKMSG_E_230=¡El {0x0101,0x0000} enemigo ha usado Dulce Aroma!
ATKMSG_N_230=¡El {0x0101,0x0000} dominante ha usado Dulce Aroma!
ATKMSG_M_231=¡{0x0101,0x0000} ha usado Cola Férrea!
ATKMSG_Y_231=¡El {0x0101,0x0000} salvaje ha usado Cola Férrea!
ATKMSG_E_231=¡El {0x0101,0x0000} enemigo ha usado Cola Férrea!
ATKMSG_N_231=¡El {0x0101,0x0000} dominante ha usado Cola Férrea!
ATKMSG_M_232=¡{0x0101,0x0000} ha usado Garra Metal!
ATKMSG_Y_232=¡El {0x0101,0x0000} salvaje ha usado Garra Metal!
ATKMSG_E_232=¡El {0x0101,0x0000} enemigo ha usado Garra Metal!
ATKMSG_N_232=¡El {0x0101,0x0000} dominante ha usado Garra Metal!
ATKMSG_M_233=¡{0x0101,0x0000} ha usado Tiro Vital!
ATKMSG_Y_233=¡El {0x0101,0x0000} salvaje ha usado Tiro Vital!
ATKMSG_E_233=¡El {0x0101,0x0000} enemigo ha usado Tiro Vital!
ATKMSG_N_233=¡El {0x0101,0x0000} dominante ha usado Tiro Vital!
ATKMSG_M_234=¡{0x0101,0x0000} ha usado Sol Matinal!
ATKMSG_Y_234=¡El {0x0101,0x0000} salvaje ha usado Sol Matinal!
ATKMSG_E_234=¡El {0x0101,0x0000} enemigo ha usado Sol Matinal!
ATKMSG_N_234=¡El {0x0101,0x0000} dominante ha usado Sol Matinal!
ATKMSG_M_235=¡{0x0101,0x0000} ha usado Síntesis!
ATKMSG_Y_235=¡El {0x0101,0x0000} salvaje ha usado Síntesis!
ATKMSG_E_235=¡El {0x0101,0x0000} enemigo ha usado Síntesis!
ATKMSG_N_235=¡El {0x0101,0x0000} dominante ha usado Síntesis!
ATKMSG_M_236=¡{0x0101,0x0000} ha usado Luz Lunar!
ATKMSG_Y_236=¡El {0x0101,0x0000} salvaje ha usado Luz Lunar!
ATKMSG_E_236=¡El {0x0101,0x0000} enemigo ha usado Luz Lunar!
ATKMSG_N_236=¡El {0x0101,0x0000} dominante ha usado Luz Lunar!
ATKMSG_M_237=¡{0x0101,0x0000} ha usado Poder Oculto!
ATKMSG_Y_237=¡El {0x0101,0x0000} salvaje ha usado Poder Oculto!
ATKMSG_E_237=¡El {0x0101,0x0000} enemigo ha usado Poder Oculto!
ATKMSG_N_237=¡El {0x0101,0x0000} dominante ha usado Poder Oculto!
ATKMSG_M_238=¡{0x0101,0x0000} ha usado Tajo Cruzado!
ATKMSG_Y_238=¡El {0x0101,0x0000} salvaje ha usado Tajo Cruzado!
ATKMSG_E_238=¡El {0x0101,0x0000} enemigo ha usado Tajo Cruzado!
ATKMSG_N_238=¡El {0x0101,0x0000} dominante ha usado Tajo Cruzado!
ATKMSG_M_239=¡{0x0101,0x0000} ha usado Ciclón!
ATKMSG_Y_239=¡El {0x0101,0x0000} salvaje ha usado Ciclón!
ATKMSG_E_239=¡El {0x0101,0x0000} enemigo ha usado Ciclón!
ATKMSG_N_239=¡El {0x0101,0x0000} dominante ha usado Ciclón!
ATKMSG_M_240=¡{0x0101,0x0000} ha usado Danza Lluvia!
ATKMSG_Y_240=¡El {0x0101,0x0000} salvaje ha usado Danza Lluvia!
ATKMSG_E_240=¡El {0x0101,0x0000} enemigo ha usado Danza Lluvia!
ATKMSG_N_240=¡El {0x0101,0x0000} dominante ha usado Danza Lluvia!
ATKMSG_M_241=¡{0x0101,0x0000} ha usado Día Soleado!
ATKMSG_Y_241=¡El {0x0101,0x0000} salvaje ha usado Día Soleado!
ATKMSG_E_241=¡El {0x0101,0x0000} enemigo ha usado Día Soleado!
ATKMSG_N_241=¡El {0x0101,0x0000} dominante ha usado Día Soleado!
ATKMSG_M_242=¡{0x0101,0x0000} ha usado Triturar!
ATKMSG_Y_242=¡El {0x0101,0x0000} salvaje ha usado Triturar!
ATKMSG_E_242=¡El {0x0101,0x0000} enemigo ha usado Triturar!
ATKMSG_N_242=¡El {0x0101,0x0000} dominante ha usado Triturar!
ATKMSG_M_243=¡{0x0101,0x0000} ha usado Manto Espejo!
ATKMSG_Y_243=¡El {0x0101,0x0000} salvaje ha usado Manto Espejo!
ATKMSG_E_243=¡El {0x0101,0x0000} enemigo ha usado Manto Espejo!
ATKMSG_N_243=¡El {0x0101,0x0000} dominante ha usado Manto Espejo!
ATKMSG_M_244=¡{0x0101,0x0000} ha usado Más Psique!
ATKMSG_Y_244=¡El {0x0101,0x0000} salvaje ha usado Más Psique!
ATKMSG_E_244=¡El {0x0101,0x0000} enemigo ha usado Más Psique!
ATKMSG_N_244=¡El {0x0101,0x0000} dominante ha usado Más Psique!
ATKMSG_M_245=¡{0x0101,0x0000} ha usado Veloc. Extrema!
ATKMSG_Y_245=¡El {0x0101,0x0000} salvaje ha usado Veloc. Extrema!
ATKMSG_E_245=¡El {0x0101,0x0000} enemigo ha usado Veloc. Extrema!
ATKMSG_N_245=¡El {0x0101,0x0000} dominante ha usado Veloc. Extrema!
ATKMSG_M_246=¡{0x0101,0x0000} ha usado Poder Pasado!
ATKMSG_Y_246=¡El {0x0101,0x0000} salvaje ha usado Poder Pasado!
ATKMSG_E_246=¡El {0x0101,0x0000} enemigo ha usado Poder Pasado!
ATKMSG_N_246=¡El {0x0101,0x0000} dominante ha usado Poder Pasado!
ATKMSG_M_247=¡{0x0101,0x0000} ha usado Bola Sombra!
ATKMSG_Y_247=¡El {0x0101,0x0000} salvaje ha usado Bola Sombra!
ATKMSG_E_247=¡El {0x0101,0x0000} enemigo ha usado Bola Sombra!
ATKMSG_N_247=¡El {0x0101,0x0000} dominante ha usado Bola Sombra!
ATKMSG_M_248=¡{0x0101,0x0000} ha usado Premonición!
ATKMSG_Y_248=¡El {0x0101,0x0000} salvaje ha usado Premonición!
ATKMSG_E_248=¡El {0x0101,0x0000} enemigo ha usado Premonición!
ATKMSG_N_248=¡El {0x0101,0x0000} dominante ha usado Premonición!
ATKMSG_M_249=¡{0x0101,0x0000} ha usado Golpe Roca!
ATKMSG_Y_249=¡El {0x0101,0x0000} salvaje ha usado Golpe Roca!
ATKMSG_E_249=¡El {0x0101,0x0000} enemigo ha usado Golpe Roca!
ATKMSG_N_249=¡El {0x0101,0x0000} dominante ha usado Golpe Roca!
ATKMSG_M_250=¡{0x0101,0x0000} ha usado Torbellino!
ATKMSG_Y_250=¡El {0x0101,0x0000} salvaje ha usado Torbellino!
ATKMSG_E_250=¡El {0x0101,0x0000} enemigo ha usado Torbellino!
ATKMSG_N_250=¡El {0x0101,0x0000} dominante ha usado Torbellino!
ATKMSG_M_251=¡{0x0101,0x0000} ha usado Paliza!
ATKMSG_Y_251=¡El {0x0101,0x0000} salvaje ha usado Paliza!
ATKMSG_E_251=¡El {0x0101,0x0000} enemigo ha usado Paliza!
ATKMSG_N_251=¡El {0x0101,0x0000} dominante ha usado Paliza!
ATKMSG_M_252=¡{0x0101,0x0000} ha usado Sorpresa!
ATKMSG_Y_252=¡El {0x0101,0x0000} salvaje ha usado Sorpresa!
ATKMSG_E_252=¡El {0x0101,0x0000} enemigo ha usado Sorpresa!
ATKMSG_N_252=¡El {0x0101,0x0000} dominante ha usado Sorpresa!
ATKMSG_M_253=¡{0x0101,0x0000} ha usado Alboroto!
ATKMSG_Y_253=¡El {0x0101,0x0000} salvaje ha usado Alboroto!
ATKMSG_E_253=¡El {0x0101,0x0000} enemigo ha usado Alboroto!
ATKMSG_N_253=¡El {0x0101,0x0000} dominante ha usado Alboroto!
ATKMSG_M_254=¡{0x0101,0x0000} ha usado Reserva!
ATKMSG_Y_254=¡El {0x0101,0x0000} salvaje ha usado Reserva!
ATKMSG_E_254=¡El {0x0101,0x0000} enemigo ha usado Reserva!
ATKMSG_N_254=¡El {0x0101,0x0000} dominante ha usado Reserva!
ATKMSG_M_255=¡{0x0101,0x0000} ha usado Escupir!
ATKMSG_Y_255=¡El {0x0101,0x0000} salvaje ha usado Escupir!
ATKMSG_E_255=¡El {0x0101,0x0000} enemigo ha usado Escupir!
ATKMSG_N_255=¡El {0x0101,0x0000} dominante ha usado Escupir!
ATKMSG_M_256=¡{0x0101,0x0000} ha usado Tragar!
ATKMSG_Y_256=¡El {0x0101,0x0000} salvaje ha usado Tragar!
ATKMSG_E_256=¡El {0x0101,0x0000} enemigo ha usado Tragar!
ATKMSG_N_256=¡El {0x0101,0x0000} dominante ha usado Tragar!
ATKMSG_M_257=¡{0x0101,0x0000} ha usado Onda Ígnea!
ATKMSG_Y_257=¡El {0x0101,0x0000} salvaje ha usado Onda Ígnea!
ATKMSG_E_257=¡El {0x0101,0x0000} enemigo ha usado Onda Ígnea!
ATKMSG_N_257=¡El {0x0101,0x0000} dominante ha usado Onda Ígnea!
ATKMSG_M_258=¡{0x0101,0x0000} ha usado Granizo!
ATKMSG_Y_258=¡El {0x0101,0x0000} salvaje ha usado Granizo!
ATKMSG_E_258=¡El {0x0101,0x0000} enemigo ha usado Granizo!
ATKMSG_N_258=¡El {0x0101,0x0000} dominante ha usado Granizo!
ATKMSG_M_259=¡{0x0101,0x0000} ha usado Tormento!
ATKMSG_Y_259=¡El {0x0101,0x0000} salvaje ha usado Tormento!
ATKMSG_E_259=¡El {0x0101,0x0000} enemigo ha usado Tormento!
ATKMSG_N_259=¡El {0x0101,0x0000} dominante ha usado Tormento!
ATKMSG_M_260=¡{0x0101,0x0000} ha usado Camelo!
ATKMSG_Y_260=¡El {0x0101,0x0000} salvaje ha usado Camelo!
ATKMSG_E_260=¡El {0x0101,0x0000} enemigo ha usado Camelo!
ATKMSG_N_260=¡El {0x0101,0x0000} dominante ha usado Camelo!
ATKMSG_M_261=¡{0x0101,0x0000} ha usado Fuego Fatuo!
ATKMSG_Y_261=¡El {0x0101,0x0000} salvaje ha usado Fuego Fatuo!
ATKMSG_E_261=¡El {0x0101,0x0000} enemigo ha usado Fuego Fatuo!
ATKMSG_N_261=¡El {0x0101,0x0000} dominante ha usado Fuego Fatuo!
ATKMSG_M_262=¡{0x0101,0x0000} ha usado Legado!
ATKMSG_Y_262=¡El {0x0101,0x0000} salvaje ha usado Legado!
ATKMSG_E_262=¡El {0x0101,0x0000} enemigo ha usado Legado!
ATKMSG_N_262=¡El {0x0101,0x0000} dominante ha usado Legado!
ATKMSG_M_263=¡{0x0101,0x0000} ha usado Imagen!
ATKMSG_Y_263=¡El {0x0101,0x0000} salvaje ha usado Imagen!
ATKMSG_E_263=¡El {0x0101,0x0000} enemigo ha usado Imagen!
ATKMSG_N_263=¡El {0x0101,0x0000} dominante ha usado Imagen!
ATKMSG_M_264=¡{0x0101,0x0000} ha usado Puño Certero!
