ATKMSG_M_000=!
ATKMSG_Y_000=!
ATKMSG_E_000=!
ATKMSG_N_000=!
ATKMSG_M_001={0x0101,0x0000} setzt[0x000A]Pfund ein!
ATKMSG_M_358={0x0101,0x0000} setzt[0x000A]Weckruf ein!
ATKMSG_Y_358={0x0101,0x0000} (wild) setzt[0x000A]Weckruf ein!
ATKMSG_E_358={0x0101,0x0000} (Gegner) setzt[0x000A]Weckruf ein!
ATKMSG_N_358={0x0101,0x0000} (Herrscher) setzt[0x000A]Weckruf ein!
ATKMSG_M_359={0x0101,0x0000} setzt[0x000A]Hammerarm ein!
ATKMSG_Y_359={0x0101,0x0000} (wild) setzt[0x000A]Hammerarm ein!
ATKMSG_E_359={0x0101,0x0000} (Gegner) setzt[0x000A]Hammerarm ein!
ATKMSG_N_359={0x0101,0x0000} (Herrscher) setzt[0x000A]Hammerarm ein!
ATKMSG_M_360={0x0101,0x0000} setzt[0x000A]Gyroball ein!
ATKMSG_Y_360={0x0101,0x0000} (wild) setzt[0x000A]Gyroball ein!
ATKMSG_E_360={0x0101,0x0000} (Gegner) setzt[0x000A]Gyroball ein!
ATKMSG_N_360={0x0101,0x0000} (Herrscher) setzt[0x000A]Gyroball ein!
ATKMSG_M_361={0x0101,0x0000} setzt[0x000A]Heilopfer ein!
ATKMSG_Y_361={0x0101,0x0000} (wild) setzt[0x000A]Heilopfer ein!
ATKMSG_E_361={0x0101,0x0000} (Gegner) setzt[0x000A]Heilopfer ein!
ATKMSG_N_361={0x0101,0x0000} (Herrscher) setzt[0x000A]Heilopfer ein!
ATKMSG_M_362={0x0101,0x0000} setzt[0x000A]Lake ein!
ATKMSG_Y_362={0x0101,0x0000} (wild) setzt[0x000A]Lake ein!
ATKMSG_E_362={0x0101,0x0000} (Gegner) setzt[0x000A]Lake ein!
ATKMSG_N_362={0x0101,0x0000} (Herrscher) setzt[0x000A]Lake ein!
ATKMSG_M_363={0x0101,0x0000} setzt[0x000A]Beerenkräfte ein!
ATKMSG_Y_363={0x0101,0x0000} (wild) setzt[0x000A]Beerenkräfte ein!
ATKMSG_E_363={0x0101,0x0000} (Gegner) setzt[0x000A]Beerenkräfte ein!
ATKMSG_N_363={0x0101,0x0000} (Herrscher) setzt[0x000A]Beerenkräfte ein!
ATKMSG_M_364={0x0101,0x0000} setzt[0x000A]Offenlegung ein!
ATKMSG_Y_364={0x0101,0x0000} (wild) setzt[0x000A]Offenlegung ein!
ATKMSG_E_364={0x0101,0x0000} (Gegner) setzt[0x000A]Offenlegung ein!
ATKMSG_N_364={0x0101,0x0000} (Herrscher) setzt[0x000A]Offenlegung ein!
ATKMSG_M_365={0x0101,0x0000} setzt[0x000A]Pflücker ein!
ATKMSG_Y_365={0x0101,0x0000} (wild) setzt[0x000A]Pflücker ein!
ATKMSG_E_365={0x0101,0x0000} (Gegner) setzt[0x000A]Pflücker ein!
ATKMSG_N_365={0x0101,0x0000} (Herrscher) setzt[0x000A]Pflücker ein!
ATKMSG_M_366={0x0101,0x0000} setzt[0x000A]Rückenwind ein!
ATKMSG_Y_366={0x0101,0x0000} (wild) setzt[0x000A]Rückenwind ein!
ATKMSG_E_366={0x0101,0x0000} (Gegner) setzt[0x000A]Rückenwind ein!
ATKMSG_N_366={0x0101,0x0000} (Herrscher) setzt[0x000A]Rückenwind ein!
ATKMSG_M_367={0x0101,0x0000} setzt[0x000A]Akupressur ein!
ATKMSG_Y_367={0x0101,0x0000} (wild) setzt[0x000A]Akupressur ein!
ATKMSG_E_367={0x0101,0x0000} (Gegner) setzt[0x000A]Akupressur ein!
ATKMSG_N_367={0x0101,0x0000} (Herrscher) setzt[0x000A]Akupressur ein!
ATKMSG_M_368={0x0101,0x0000} setzt[0x000A]Metallstoß ein!
ATKMSG_Y_368={0x0101,0x0000} (wild) setzt[0x000A]Metallstoß ein!
ATKMSG_E_368={0x0101,0x0000} (Gegner) setzt[0x000A]Metallstoß ein!
ATKMSG_N_368={0x0101,0x0000} (Herrscher) setzt[0x000A]Metallstoß ein!
ATKMSG_M_369={0x0101,0x0000} setzt[0x000A]Kehrtwende ein!
ATKMSG_Y_369={0x0101,0x0000} (wild) setzt[0x000A]Kehrtwende ein!
ATKMSG_E_369={0x0101,0x0000} (Gegner) setzt[0x000A]Kehrtwende ein!
ATKMSG_N_369={0x0101,0x0000} (Herrscher) setzt[0x000A]Kehrtwende ein!
ATKMSG_M_370={0x0101,0x0000} setzt[0x000A]Nahkampf ein!
ATKMSG_Y_370={0x0101,0x0000} (wild) setzt[0x000A]Nahkampf ein!
ATKMSG_E_370={0x0101,0x0000} (Gegner) setzt[0x000A]Nahkampf ein!
ATKMSG_N_370={0x0101,0x0000} (Herrscher) setzt[0x000A]Nahkampf ein!
ATKMSG_M_371={0x0101,0x0000} setzt[0x000A]Gegenstoß ein!
ATKMSG_Y_371={0x0101,0x0000} (wild) setzt[0x000A]Gegenstoß ein!
ATKMSG_E_371={0x0101,0x0000} (Gegner) setzt[0x000A]Gegenstoß ein!
ATKMSG_N_371={0x0101,0x0000} (Herrscher) setzt[0x000A]Gegenstoß ein!
ATKMSG_M_372={0x0101,0x0000} setzt[0x000A]Gewissheit ein!
ATKMSG_Y_372={0x0101,0x0000} (wild) setzt[0x000A]Gewissheit ein!
ATKMSG_E_372={0x0101,0x0000} (Gegner) setzt[0x000A]Gewissheit ein!
ATKMSG_N_372={0x0101,0x0000} (Herrscher) setzt[0x000A]Gewissheit ein!
ATKMSG_M_373={0x0101,0x0000} setzt[0x000A]Itemsperre ein!
ATKMSG_Y_373={0x0101,0x0000} (wild) setzt[0x000A]Itemsperre ein!
ATKMSG_E_373={0x0101,0x0000} (Gegner) setzt[0x000A]Itemsperre ein!
ATKMSG_N_373={0x0101,0x0000} (Herrscher) setzt[0x000A]Itemsperre ein!
ATKMSG_M_374={0x0101,0x0000} setzt[0x000A]Schleuder ein!
ATKMSG_Y_374={0x0101,0x0000} (wild) setzt[0x000A]Schleuder ein!
ATKMSG_E_374={0x0101,0x0000} (Gegner) setzt[0x000A]Schleuder ein!
ATKMSG_N_374={0x0101,0x0000} (Herrscher) setzt[0x000A]Schleuder ein!
ATKMSG_M_375={0x0101,0x0000} setzt[0x000A]Psybann ein!
ATKMSG_Y_375={0x0101,0x0000} (wild) setzt[0x000A]Psybann ein!
ATKMSG_E_375={0x0101,0x0000} (Gegner) setzt[0x000A]Psybann ein!
ATKMSG_N_375={0x0101,0x0000} (Herrscher) setzt[0x000A]Psybann ein!
ATKMSG_M_376={0x0101,0x0000} setzt[0x000A]Trumpfkarte ein!
ATKMSG_Y_376={0x0101,0x0000} (wild) setzt[0x000A]Trumpfkarte ein!
ATKMSG_E_376={0x0101,0x0000} (Gegner) setzt[0x000A]Trumpfkarte ein!
ATKMSG_N_376={0x0101,0x0000} (Herrscher) setzt[0x000A]Trumpfkarte ein!
ATKMSG_M_377={0x0101,0x0000} setzt[0x000A]Heilblockade ein!
ATKMSG_Y_377={0x0101,0x0000} (wild) setzt[0x000A]Heilblockade ein!
ATKMSG_E_377={0x0101,0x0000} (Gegner) setzt[0x000A]Heilblockade ein!
ATKMSG_N_377={0x0101,0x0000} (Herrscher) setzt[0x000A]Heilblockade ein!
ATKMSG_M_378={0x0101,0x0000} setzt[0x000A]Auswringen ein!
ATKMSG_Y_378={0x0101,0x0000} (wild) setzt[0x000A]Auswringen ein!
ATKMSG_E_378={0x0101,0x0000} (Gegner) setzt[0x000A]Auswringen ein!
ATKMSG_N_378={0x0101,0x0000} (Herrscher) setzt[0x000A]Auswringen ein!
ATKMSG_M_379={0x0101,0x0000} setzt[0x000A]Krafttrick ein!
ATKMSG_Y_379={0x0101,0x0000} (wild) setzt[0x000A]Krafttrick ein!
ATKMSG_E_379={0x0101,0x0000} (Gegner) setzt[0x000A]Krafttrick ein!
ATKMSG_N_379={0x0101,0x0000} (Herrscher) setzt[0x000A]Krafttrick ein!
ATKMSG_M_380={0x0101,0x0000} setzt[0x000A]Magensäfte ein!
ATKMSG_Y_380={0x0101,0x0000} (wild) setzt[0x000A]Magensäfte ein!
ATKMSG_E_380={0x0101,0x0000} (Gegner) setzt[0x000A]Magensäfte ein!
ATKMSG_N_380={0x0101,0x0000} (Herrscher) setzt[0x000A]Magensäfte ein!
ATKMSG_M_381={0x0101,0x0000} setzt[0x000A]Beschwörung ein!
ATKMSG_Y_381={0x0101,0x0000} (wild) setzt[0x000A]Beschwörung ein!
ATKMSG_E_381={0x0101,0x0000} (Gegner) setzt[0x000A]Beschwörung ein!
ATKMSG_N_381={0x0101,0x0000} (Herrscher) setzt[0x000A]Beschwörung ein!
ATKMSG_M_382={0x0101,0x0000} setzt[0x000A]Egotrip ein!
ATKMSG_Y_382={0x0101,0x0000} (wild) setzt[0x000A]Egotrip ein!
ATKMSG_E_382={0x0101,0x0000} (Gegner) setzt[0x000A]Egotrip ein!
ATKMSG_N_382={0x0101,0x0000} (Herrscher) setzt[0x000A]Egotrip ein!
ATKMSG_M_383={0x0101,0x0000} setzt[0x000A]Imitator ein!
ATKMSG_Y_383={0x0101,0x0000} (wild) setzt[0x000A]Imitator ein!
ATKMSG_E_383={0x0101,0x0000} (Gegner) setzt[0x000A]Imitator ein!
ATKMSG_N_383={0x0101,0x0000} (Herrscher) setzt[0x000A]Imitator ein!
ATKMSG_M_384={0x0101,0x0000} setzt[0x000A]Krafttausch ein!
ATKMSG_Y_384={0x0101,0x0000} (wild) setzt[0x000A]Krafttausch ein!
ATKMSG_E_384={0x0101,0x0000} (Gegner) setzt[0x000A]Krafttausch ein!
ATKMSG_N_384={0x0101,0x0000} (Herrscher) setzt[0x000A]Krafttausch ein!
ATKMSG_M_385={0x0101,0x0000} setzt[0x000A]Schutztausch ein!
ATKMSG_Y_385={0x0101,0x0000} (wild) setzt[0x000A]Schutztausch ein!
ATKMSG_E_385={0x0101,0x0000} (Gegner) setzt[0x000A]Schutztausch ein!
ATKMSG_N_385={0x0101,0x0000} (Herrscher) setzt[0x000A]Schutztausch ein!
ATKMSG_M_386={0x0101,0x0000} setzt[0x000A]Strafattacke ein!
ATKMSG_Y_386={0x0101,0x0000} (wild) setzt[0x000A]Strafattacke ein!
ATKMSG_E_386={0x0101,0x0000} (Gegner) setzt[0x000A]Strafattacke ein!
ATKMSG_N_386={0x0101,0x0000} (Herrscher) setzt[0x000A]Strafattacke ein!
ATKMSG_M_387={0x0101,0x0000} setzt[0x000A]Zuflucht ein!
ATKMSG_Y_387={0x0101,0x0000} (wild) setzt[0x000A]Zuflucht ein!
ATKMSG_E_387={0x0101,0x0000} (Gegner) setzt[0x000A]Zuflucht ein!
ATKMSG_N_387={0x0101,0x0000} (Herrscher) setzt[0x000A]Zuflucht ein!
ATKMSG_M_388={0x0101,0x0000} setzt[0x000A]Sorgensamen ein!
ATKMSG_Y_388={0x0101,0x0000} (wild) setzt[0x000A]Sorgensamen ein!
ATKMSG_E_388={0x0101,0x0000} (Gegner) setzt[0x000A]Sorgensamen ein!
ATKMSG_N_388={0x0101,0x0000} (Herrscher) setzt[0x000A]Sorgensamen ein!
ATKMSG_M_389={0x0101,0x0000} setzt[0x000A]Tiefschlag ein!
ATKMSG_Y_389={0x0101,0x0000} (wild) setzt[0x000A]Tiefschlag ein!
ATKMSG_E_389={0x0101,0x0000} (Gegner) setzt[0x000A]Tiefschlag ein!
ATKMSG_N_389={0x0101,0x0000} (Herrscher) setzt[0x000A]Tiefschlag ein!
ATKMSG_M_390={0x0101,0x0000} setzt[0x000A]Giftspitzen ein!
ATKMSG_Y_390={0x0101,0x0000} (wild) setzt[0x000A]Giftspitzen ein!
ATKMSG_E_390={0x0101,0x0000} (Gegner) setzt[0x000A]Giftspitzen ein!
ATKMSG_N_390={0x0101,0x0000} (Herrscher) setzt[0x000A]Giftspitzen ein!
ATKMSG_M_391={0x0101,0x0000} setzt[0x000A]Statustausch ein!
ATKMSG_Y_391={0x0101,0x0000} (wild) setzt[0x000A]Statustausch ein!
ATKMSG_E_391={0x0101,0x0000} (Gegner) setzt[0x000A]Statustausch ein!
ATKMSG_N_391={0x0101,0x0000} (Herrscher) setzt[0x000A]Statustausch ein!
ATKMSG_M_392={0x0101,0x0000} setzt[0x000A]Wasserring ein!
ATKMSG_Y_392={0x0101,0x0000} (wild) setzt[0x000A]Wasserring ein!
ATKMSG_E_392={0x0101,0x0000} (Gegner) setzt[0x000A]Wasserring ein!
ATKMSG_N_392={0x0101,0x0000} (Herrscher) setzt[0x000A]Wasserring ein!
ATKMSG_M_393={0x0101,0x0000} setzt[0x000A]Magnetflug ein!
ATKMSG_Y_393={0x0101,0x0000} (wild) setzt[0x000A]Magnetflug ein!
ATKMSG_E_393={0x0101,0x0000} (Gegner) setzt[0x000A]Magnetflug ein!
ATKMSG_N_393={0x0101,0x0000} (Herrscher) setzt[0x000A]Magnetflug ein!
ATKMSG_M_394={0x0101,0x0000} setzt[0x000A]Flammenblitz ein!
ATKMSG_Y_394={0x0101,0x0000} (wild) setzt[0x000A]Flammenblitz ein!
ATKMSG_E_394={0x0101,0x0000} (Gegner) setzt[0x000A]Flammenblitz ein!
ATKMSG_N_394={0x0101,0x0000} (Herrscher) setzt[0x000A]Flammenblitz ein!
ATKMSG_M_395={0x0101,0x0000} setzt[0x000A]Kraftwelle ein!
ATKMSG_Y_395={0x0101,0x0000} (wild) setzt[0x000A]Kraftwelle ein!
ATKMSG_E_395={0x0101,0x0000} (Gegner) setzt[0x000A]Kraftwelle ein!
ATKMSG_N_395={0x0101,0x0000} (Herrscher) setzt[0x000A]Kraftwelle ein!
ATKMSG_M_396={0x0101,0x0000} setzt[0x000A]Aurasphäre ein!
ATKMSG_Y_396={0x0101,0x0000} (wild) setzt[0x000A]Aurasphäre ein!
ATKMSG_E_396={0x0101,0x0000} (Gegner) setzt[0x000A]Aurasphäre ein!
ATKMSG_N_396={0x0101,0x0000} (Herrscher) setzt[0x000A]Aurasphäre ein!
ATKMSG_M_397={0x0101,0x0000} setzt[0x000A]Steinpolitur ein!
ATKMSG_Y_397={0x0101,0x0000} (wild) setzt[0x000A]Steinpolitur ein!
ATKMSG_E_397={0x0101,0x0000} (Gegner) setzt[0x000A]Steinpolitur ein!
ATKMSG_N_397={0x0101,0x0000} (Herrscher) setzt[0x000A]Steinpolitur ein!
ATKMSG_M_398={0x0101,0x0000} setzt[0x000A]Gifthieb ein!
ATKMSG_Y_398={0x0101,0x0000} (wild) setzt[0x000A]Gifthieb ein!
ATKMSG_E_398={0x0101,0x0000} (Gegner) setzt[0x000A]Gifthieb ein!
ATKMSG_N_398={0x0101,0x0000} (Herrscher) setzt[0x000A]Gifthieb ein!
ATKMSG_M_399={0x0101,0x0000} setzt[0x000A]Finsteraura ein!
ATKMSG_Y_399={0x0101,0x0000} (wild) setzt[0x000A]Finsteraura ein!
ATKMSG_E_399={0x0101,0x0000} (Gegner) setzt[0x000A]Finsteraura ein!
ATKMSG_N_399={0x0101,0x0000} (Herrscher) setzt[0x000A]Finsteraura ein!
ATKMSG_M_400={0x0101,0x0000} setzt[0x000A]Nachthieb ein!
ATKMSG_Y_400={0x0101,0x0000} (wild) setzt[0x000A]Nachthieb ein!
ATKMSG_E_400={0x0101,0x0000} (Gegner) setzt[0x000A]Nachthieb ein!
ATKMSG_N_400={0x0101,0x0000} (Herrscher) setzt[0x000A]Nachthieb ein!
ATKMSG_M_401={0x0101,0x0000} setzt[0x000A]Nassschweif ein!
ATKMSG_Y_401={0x0101,0x0000} (wild) setzt[0x000A]Nassschweif ein!
ATKMSG_E_401={0x0101,0x0000} (Gegner) setzt[0x000A]Nassschweif ein!
ATKMSG_N_401={0x0101,0x0000} (Herrscher) setzt[0x000A]Nassschweif ein!
ATKMSG_M_402={0x0101,0x0000} setzt[0x000A]Samenbomben ein!
ATKMSG_Y_402={0x0101,0x0000} (wild) setzt[0x000A]Samenbomben ein!
ATKMSG_E_402={0x0101,0x0000} (Gegner) setzt[0x000A]Samenbomben ein!
ATKMSG_N_402={0x0101,0x0000} (Herrscher) setzt[0x000A]Samenbomben ein!
ATKMSG_M_403={0x0101,0x0000} setzt[0x000A]Luftschnitt ein!
ATKMSG_Y_403={0x0101,0x0000} (wild) setzt[0x000A]Luftschnitt ein!
ATKMSG_E_403={0x0101,0x0000} (Gegner) setzt[0x000A]Luftschnitt ein!
ATKMSG_N_403={0x0101,0x0000} (Herrscher) setzt[0x000A]Luftschnitt ein!
ATKMSG_M_404={0x0101,0x0000} setzt[0x000A]Kreuzschere ein!
ATKMSG_Y_404={0x0101,0x0000} (wild) setzt[0x000A]Kreuzschere ein!
ATKMSG_E_404={0x0101,0x0000} (Gegner) setzt[0x000A]Kreuzschere ein!
ATKMSG_N_404={0x0101,0x0000} (Herrscher) setzt[0x000A]Kreuzschere ein!
ATKMSG_M_405={0x0101,0x0000} setzt[0x000A]Käfergebrumm ein!
ATKMSG_Y_405={0x0101,0x0000} (wild) setzt[0x000A]Käfergebrumm ein!
ATKMSG_E_405={0x0101,0x0000} (Gegner) setzt[0x000A]Käfergebrumm ein!
ATKMSG_N_405={0x0101,0x0000} (Herrscher) setzt[0x000A]Käfergebrumm ein!
ATKMSG_M_406={0x0101,0x0000} setzt[0x000A]Drachenpuls ein!
ATKMSG_Y_406={0x0101,0x0000} (wild) setzt[0x000A]Drachenpuls ein!
ATKMSG_E_406={0x0101,0x0000} (Gegner) setzt[0x000A]Drachenpuls ein!
ATKMSG_N_406={0x0101,0x0000} (Herrscher) setzt[0x000A]Drachenpuls ein!
ATKMSG_M_407={0x0101,0x0000} setzt[0x000A]Drachenstoß ein!
ATKMSG_Y_407={0x0101,0x0000} (wild) setzt[0x000A]Drachenstoß ein!
ATKMSG_E_407={0x0101,0x0000} (Gegner) setzt[0x000A]Drachenstoß ein!
ATKMSG_N_407={0x0101,0x0000} (Herrscher) setzt[0x000A]Drachenstoß ein!
ATKMSG_M_408={0x0101,0x0000} setzt[0x000A]Juwelenkraft ein!
ATKMSG_Y_408={0x0101,0x0000} (wild) setzt[0x000A]Juwelenkraft ein!
ATKMSG_E_408={0x0101,0x0000} (Gegner) setzt[0x000A]Juwelenkraft ein!
ATKMSG_N_408={0x0101,0x0000} (Herrscher) setzt[0x000A]Juwelenkraft ein!
ATKMSG_M_409={0x0101,0x0000} setzt[0x000A]Ableithieb ein!
ATKMSG_Y_409={0x0101,0x0000} (wild) setzt[0x000A]Ableithieb ein!
ATKMSG_E_409={0x0101,0x0000} (Gegner) setzt[0x000A]Ableithieb ein!
ATKMSG_N_409={0x0101,0x0000} (Herrscher) setzt[0x000A]Ableithieb ein!
ATKMSG_M_410={0x0101,0x0000} setzt[0x000A]Vakuumwelle ein!
ATKMSG_Y_410={0x0101,0x0000} (wild) setzt[0x000A]Vakuumwelle ein!
ATKMSG_E_410={0x0101,0x0000} (Gegner) setzt[0x000A]Vakuumwelle ein!
ATKMSG_N_410={0x0101,0x0000} (Herrscher) setzt[0x000A]Vakuumwelle ein!
ATKMSG_M_411={0x0101,0x0000} setzt[0x000A]Fokusstoß ein!
ATKMSG_Y_411={0x0101,0x0000} (wild) setzt[0x000A]Fokusstoß ein!
ATKMSG_E_411={0x0101,0x0000} (Gegner) setzt[0x000A]Fokusstoß ein!
ATKMSG_N_411={0x0101,0x0000} (Herrscher) setzt[0x000A]Fokusstoß ein!
ATKMSG_M_412={0x0101,0x0000} setzt[0x000A]Energieball ein!
ATKMSG_Y_412={0x0101,0x0000} (wild) setzt[0x000A]Energieball ein!
ATKMSG_E_412={0x0101,0x0000} (Gegner) setzt[0x000A]Energieball ein!
ATKMSG_N_412={0x0101,0x0000} (Herrscher) setzt[0x000A]Energieball ein!
ATKMSG_M_413={0x0101,0x0000} setzt[0x000A]Sturzflug ein!
ATKMSG_Y_413={0x0101,0x0000} (wild) setzt[0x000A]Sturzflug ein!
ATKMSG_E_413={0x0101,0x0000} (Gegner) setzt[0x000A]Sturzflug ein!
ATKMSG_N_413={0x0101,0x0000} (Herrscher) setzt[0x000A]Sturzflug ein!
ATKMSG_M_414={0x0101,0x0000} setzt[0x000A]Erdkräfte ein!
ATKMSG_Y_414={0x0101,0x0000} (wild) setzt[0x000A]Erdkräfte ein!
ATKMSG_E_414={0x0101,0x0000} (Gegner) setzt[0x000A]Erdkräfte ein!
ATKMSG_N_414={0x0101,0x0000} (Herrscher) setzt[0x000A]Erdkräfte ein!
ATKMSG_M_415={0x0101,0x0000} setzt[0x000A]Wechseldich ein!
ATKMSG_Y_415={0x0101,0x0000} (wild) setzt[0x000A]Wechseldich ein!
ATKMSG_E_415={0x0101,0x0000} (Gegner) setzt[0x000A]Wechseldich ein!
ATKMSG_N_415={0x0101,0x0000} (Herrscher) setzt[0x000A]Wechseldich ein!
ATKMSG_M_416={0x0101,0x0000} setzt[0x000A]Gigastoß ein!
ATKMSG_Y_416={0x0101,0x0000} (wild) setzt[0x000A]Gigastoß ein!
ATKMSG_E_416={0x0101,0x0000} (Gegner) setzt[0x000A]Gigastoß ein!
ATKMSG_N_416={0x0101,0x0000} (Herrscher) setzt[0x000A]Gigastoß ein!
ATKMSG_M_417={0x0101,0x0000} setzt[0x000A]Ränkeschmied ein!
ATKMSG_Y_417={0x0101,0x0000} (wild) setzt[0x000A]Ränkeschmied ein!
ATKMSG_E_417={0x0101,0x0000} (Gegner) setzt[0x000A]Ränkeschmied ein!
ATKMSG_N_417={0x0101,0x0000} (Herrscher) setzt[0x000A]Ränkeschmied ein!
ATKMSG_M_418={0x0101,0x0000} setzt[0x000A]Patronenhieb ein!
ATKMSG_Y_418={0x0101,0x0000} (wild) setzt[0x000A]Patronenhieb ein!
ATKMSG_E_418={0x0101,0x0000} (Gegner) setzt[0x000A]Patronenhieb ein!
ATKMSG_N_418={0x0101,0x0000} (Herrscher) setzt[0x000A]Patronenhieb ein!
ATKMSG_M_419={0x0101,0x0000} setzt[0x000A]Lawine ein!
ATKMSG_Y_419={0x0101,0x0000} (wild) setzt[0x000A]Lawine ein!
ATKMSG_E_419={0x0101,0x0000} (Gegner) setzt[0x000A]Lawine ein!
ATKMSG_N_419={0x0101,0x0000} (Herrscher) setzt[0x000A]Lawine ein!
ATKMSG_M_420={0x0101,0x0000} setzt[0x000A]Eissplitter ein!
ATKMSG_Y_420={0x0101,0x0000} (wild) setzt[0x000A]Eissplitter ein!
ATKMSG_E_420={0x0101,0x0000} (Gegner) setzt[0x000A]Eissplitter ein!
ATKMSG_N_420={0x0101,0x0000} (Herrscher) setzt[0x000A]Eissplitter ein!
ATKMSG_M_421={0x0101,0x0000} setzt[0x000A]Dunkelklaue ein!
ATKMSG_Y_421={0x0101,0x0000} (wild) setzt[0x000A]Dunkelklaue ein!
ATKMSG_E_421={0x0101,0x0000} (Gegner) setzt[0x000A]Dunkelklaue ein!
ATKMSG_N_421={0x0101,0x0000} (Herrscher) setzt[0x000A]Dunkelklaue ein!
ATKMSG_M_422={0x0101,0x0000} setzt[0x000A]Donnerzahn ein!
ATKMSG_Y_422={0x0101,0x0000} (wild) setzt[0x000A]Donnerzahn ein!
ATKMSG_E_422={0x0101,0x0000} (Gegner) setzt[0x000A]Donnerzahn ein!
ATKMSG_N_422={0x0101,0x0000} (Herrscher) setzt[0x000A]Donnerzahn ein!
ATKMSG_M_423={0x0101,0x0000} setzt[0x000A]Eiszahn ein!
ATKMSG_Y_423={0x0101,0x0000} (wild) setzt[0x000A]Eiszahn ein!
ATKMSG_E_423={0x0101,0x0000} (Gegner) setzt[0x000A]Eiszahn ein!
ATKMSG_N_423={0x0101,0x0000} (Herrscher) setzt[0x000A]Eiszahn ein!
ATKMSG_M_424={0x0101,0x0000} setzt[0x000A]Feuerzahn ein!
ATKMSG_Y_424={0x0101,0x0000} (wild) setzt[0x000A]Feuerzahn ein!
ATKMSG_E_424={0x0101,0x0000} (Gegner) setzt[0x000A]Feuerzahn ein!
ATKMSG_N_424={0x0101,0x0000} (Herrscher) setzt[0x000A]Feuerzahn ein!
ATKMSG_M_425={0x0101,0x0000} setzt[0x000A]Schattenstoß ein!
ATKMSG_Y_425={0x0101,0x0000} (wild) setzt[0x000A]Schattenstoß ein!
ATKMSG_E_425={0x0101,0x0000} (Gegner) setzt[0x000A]Schattenstoß ein!
ATKMSG_N_425={0x0101,0x0000} (Herrscher) setzt[0x000A]Schattenstoß ein!
ATKMSG_M_426={0x0101,0x0000} setzt[0x000A]Schlammbombe ein!
ATKMSG_Y_426={0x0101,0x0000} (wild) setzt[0x000A]Schlammbombe ein!
ATKMSG_E_426={0x0101,0x0000} (Gegner) setzt[0x000A]Schlammbombe ein!
ATKMSG_N_426={0x0101,0x0000} (Herrscher) setzt[0x000A]Schlammbombe ein!
ATKMSG_M_427={0x0101,0x0000} setzt[0x000A]Psychoklinge ein!
ATKMSG_Y_427={0x0101,0x0000} (wild) setzt[0x000A]Psychoklinge ein!
ATKMSG_E_427={0x0101,0x0000} (Gegner) setzt[0x000A]Psychoklinge ein!
ATKMSG_N_427={0x0101,0x0000} (Herrscher) setzt[0x000A]Psychoklinge ein!
ATKMSG_M_428={0x0101,0x0000} setzt[0x000A]Zen-Kopfstoß ein!
ATKMSG_Y_428={0x0101,0x0000} (wild) setzt[0x000A]Zen-Kopfstoß ein!
ATKMSG_E_428={0x0101,0x0000} (Gegner) setzt[0x000A]Zen-Kopfstoß ein!
ATKMSG_N_428={0x0101,0x0000} (Herrscher) setzt[0x000A]Zen-Kopfstoß ein!
ATKMSG_M_429={0x0101,0x0000} setzt[0x000A]Spiegelsalve ein!
ATKMSG_Y_429={0x0101,0x0000} (wild) setzt[0x000A]Spiegelsalve ein!
ATKMSG_E_429={0x0101,0x0000} (Gegner) setzt[0x000A]Spiegelsalve ein!
ATKMSG_N_429={0x0101,0x0000} (Herrscher) setzt[0x000A]Spiegelsalve ein!
ATKMSG_M_430={0x0101,0x0000} setzt[0x000A]Lichtkanone ein!
ATKMSG_Y_430={0x0101,0x0000} (wild) setzt[0x000A]Lichtkanone ein!
ATKMSG_E_430={0x0101,0x0000} (Gegner) setzt[0x000A]Lichtkanone ein!
ATKMSG_N_430={0x0101,0x0000} (Herrscher) setzt[0x000A]Lichtkanone ein!
ATKMSG_M_431={0x0101,0x0000} setzt[0x000A]Kraxler ein!
ATKMSG_Y_431={0x0101,0x0000} (wild) setzt[0x000A]Kraxler ein!
ATKMSG_E_431={0x0101,0x0000} (Gegner) setzt[0x000A]Kraxler ein!
ATKMSG_N_431={0x0101,0x0000} (Herrscher) setzt[0x000A]Kraxler ein!
ATKMSG_M_432={0x0101,0x0000} setzt[0x000A]Auflockern ein!
ATKMSG_Y_432={0x0101,0x0000} (wild) setzt[0x000A]Auflockern ein!
ATKMSG_E_432={0x0101,0x0000} (Gegner) setzt[0x000A]Auflockern ein!
ATKMSG_N_432={0x0101,0x0000} (Herrscher) setzt[0x000A]Auflockern ein!
ATKMSG_M_433={0x0101,0x0000} setzt[0x000A]Bizarroraum ein!
ATKMSG_Y_433={0x0101,0x0000} (wild) setzt[0x000A]Bizarroraum ein!
ATKMSG_E_433={0x0101,0x0000} (Gegner) setzt[0x000A]Bizarroraum ein!
ATKMSG_N_433={0x0101,0x0000} (Herrscher) setzt[0x000A]Bizarroraum ein!
ATKMSG_M_434={0x0101,0x0000} setzt[0x000A]Draco Meteor ein!
ATKMSG_Y_434={0x0101,0x0000} (wild) setzt[0x000A]Draco Meteor ein!
ATKMSG_E_434={0x0101,0x0000} (Gegner) setzt[0x000A]Draco Meteor ein!
ATKMSG_N_434={0x0101,0x0000} (Herrscher) setzt[0x000A]Draco Meteor ein!
ATKMSG_M_435={0x0101,0x0000} setzt[0x000A]Ladungsstoß ein!
ATKMSG_Y_435={0x0101,0x0000} (wild) setzt[0x000A]Ladungsstoß ein!
