ATKMSG_Z_M_000=!
ATKMSG_Z_Y_000=!
ATKMSG_Z_E_000=!
ATKMSG_Z_N_000=!
ATKMSG_Z_M_001={0x0101,0x0000} setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_Y_393={0x0101,0x0000} (wild) setzt[0x000A]Z-Magnetflug ein!
ATKMSG_Z_E_393={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Magnetflug ein!
ATKMSG_Z_N_393={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Magnetflug ein!
ATKMSG_Z_M_394={0x0101,0x0000} setzt[0x000A]Z-Flammenblitz ein!
ATKMSG_Z_Y_394={0x0101,0x0000} (wild) setzt[0x000A]Z-Flammenblitz ein!
ATKMSG_Z_E_394={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Flammenblitz ein!
ATKMSG_Z_N_394={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Flammenblitz ein!
ATKMSG_Z_M_395={0x0101,0x0000} setzt[0x000A]Z-Kraftwelle ein!
ATKMSG_Z_Y_395={0x0101,0x0000} (wild) setzt[0x000A]Z-Kraftwelle ein!
ATKMSG_Z_E_395={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kraftwelle ein!
ATKMSG_Z_N_395={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kraftwelle ein!
ATKMSG_Z_M_396={0x0101,0x0000} setzt[0x000A]Z-Aurasphäre ein!
ATKMSG_Z_Y_396={0x0101,0x0000} (wild) setzt[0x000A]Z-Aurasphäre ein!
ATKMSG_Z_E_396={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Aurasphäre ein!
ATKMSG_Z_N_396={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Aurasphäre ein!
ATKMSG_Z_M_397={0x0101,0x0000} setzt[0x000A]Z-Steinpolitur ein!
ATKMSG_Z_Y_397={0x0101,0x0000} (wild) setzt[0x000A]Z-Steinpolitur ein!
ATKMSG_Z_E_397={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Steinpolitur ein!
ATKMSG_Z_N_397={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Steinpolitur ein!
ATKMSG_Z_M_398={0x0101,0x0000} setzt[0x000A]Z-Gifthieb ein!
ATKMSG_Z_Y_398={0x0101,0x0000} (wild) setzt[0x000A]Z-Gifthieb ein!
ATKMSG_Z_E_398={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Gifthieb ein!
ATKMSG_Z_N_398={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Gifthieb ein!
ATKMSG_Z_M_399={0x0101,0x0000} setzt[0x000A]Z-Finsteraura ein!
ATKMSG_Z_Y_399={0x0101,0x0000} (wild) setzt[0x000A]Z-Finsteraura ein!
ATKMSG_Z_E_399={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Finsteraura ein!
ATKMSG_Z_N_399={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Finsteraura ein!
ATKMSG_Z_M_400={0x0101,0x0000} setzt[0x000A]Z-Nachthieb ein!
ATKMSG_Z_Y_400={0x0101,0x0000} (wild) setzt[0x000A]Z-Nachthieb ein!
ATKMSG_Z_E_400={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Nachthieb ein!
ATKMSG_Z_N_400={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Nachthieb ein!
ATKMSG_Z_M_401={0x0101,0x0000} setzt[0x000A]Z-Nassschweif ein!
ATKMSG_Z_Y_401={0x0101,0x0000} (wild) setzt[0x000A]Z-Nassschweif ein!
ATKMSG_Z_E_401={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Nassschweif ein!
ATKMSG_Z_N_401={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Nassschweif ein!
ATKMSG_Z_M_402={0x0101,0x0000} setzt[0x000A]Z-Samenbomben ein!
ATKMSG_Z_Y_402={0x0101,0x0000} (wild) setzt[0x000A]Z-Samenbomben ein!
ATKMSG_Z_E_402={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Samenbomben ein!
ATKMSG_Z_N_402={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Samenbomben ein!
ATKMSG_Z_M_403={0x0101,0x0000} setzt[0x000A]Z-Luftschnitt ein!
ATKMSG_Z_Y_403={0x0101,0x0000} (wild) setzt[0x000A]Z-Luftschnitt ein!
ATKMSG_Z_E_403={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Luftschnitt ein!
ATKMSG_Z_N_403={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Luftschnitt ein!
ATKMSG_Z_M_404={0x0101,0x0000} setzt[0x000A]Z-Kreuzschere ein!
ATKMSG_Z_Y_404={0x0101,0x0000} (wild) setzt[0x000A]Z-Kreuzschere ein!
ATKMSG_Z_E_404={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kreuzschere ein!
ATKMSG_Z_N_404={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kreuzschere ein!
ATKMSG_Z_M_405={0x0101,0x0000} setzt[0x000A]Z-Käfergebrumm ein!
ATKMSG_Z_Y_405={0x0101,0x0000} (wild) setzt[0x000A]Z-Käfergebrumm ein!
ATKMSG_Z_E_405={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Käfergebrumm ein!
ATKMSG_Z_N_405={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Käfergebrumm ein!
ATKMSG_Z_M_406={0x0101,0x0000} setzt[0x000A]Z-Drachenpuls ein!
ATKMSG_Z_Y_406={0x0101,0x0000} (wild) setzt[0x000A]Z-Drachenpuls ein!
ATKMSG_Z_E_406={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Drachenpuls ein!
ATKMSG_Z_N_406={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Drachenpuls ein!
ATKMSG_Z_M_407={0x0101,0x0000} setzt[0x000A]Z-Drachenstoß ein!
ATKMSG_Z_Y_407={0x0101,0x0000} (wild) setzt[0x000A]Z-Drachenstoß ein!
ATKMSG_Z_E_407={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Drachenstoß ein!
ATKMSG_Z_N_407={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Drachenstoß ein!
ATKMSG_Z_M_408={0x0101,0x0000} setzt[0x000A]Z-Juwelenkraft ein!
ATKMSG_Z_Y_408={0x0101,0x0000} (wild) setzt[0x000A]Z-Juwelenkraft ein!
ATKMSG_Z_E_408={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Juwelenkraft ein!
ATKMSG_Z_N_408={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Juwelenkraft ein!
ATKMSG_Z_M_409={0x0101,0x0000} setzt[0x000A]Z-Ableithieb ein!
ATKMSG_Z_Y_409={0x0101,0x0000} (wild) setzt[0x000A]Z-Ableithieb ein!
ATKMSG_Z_E_409={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ableithieb ein!
ATKMSG_Z_N_409={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ableithieb ein!
ATKMSG_Z_M_410={0x0101,0x0000} setzt[0x000A]Z-Vakuumwelle ein!
ATKMSG_Z_Y_410={0x0101,0x0000} (wild) setzt[0x000A]Z-Vakuumwelle ein!
ATKMSG_Z_E_410={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Vakuumwelle ein!
ATKMSG_Z_N_410={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Vakuumwelle ein!
ATKMSG_Z_M_411={0x0101,0x0000} setzt[0x000A]Z-Fokusstoß ein!
ATKMSG_Z_Y_411={0x0101,0x0000} (wild) setzt[0x000A]Z-Fokusstoß ein!
ATKMSG_Z_E_411={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Fokusstoß ein!
ATKMSG_Z_N_411={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Fokusstoß ein!
ATKMSG_Z_M_412={0x0101,0x0000} setzt[0x000A]Z-Energieball ein!
ATKMSG_Z_Y_412={0x0101,0x0000} (wild) setzt[0x000A]Z-Energieball ein!
ATKMSG_Z_E_412={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Energieball ein!
ATKMSG_Z_N_412={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Energieball ein!
ATKMSG_Z_M_413={0x0101,0x0000} setzt[0x000A]Z-Sturzflug ein!
ATKMSG_Z_Y_413={0x0101,0x0000} (wild) setzt[0x000A]Z-Sturzflug ein!
ATKMSG_Z_E_413={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Sturzflug ein!
ATKMSG_Z_N_413={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Sturzflug ein!
ATKMSG_Z_M_414={0x0101,0x0000} setzt[0x000A]Z-Erdkräfte ein!
ATKMSG_Z_Y_414={0x0101,0x0000} (wild) setzt[0x000A]Z-Erdkräfte ein!
ATKMSG_Z_E_414={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Erdkräfte ein!
ATKMSG_Z_N_414={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Erdkräfte ein!
ATKMSG_Z_M_415={0x0101,0x0000} setzt[0x000A]Z-Wechseldich ein!
ATKMSG_Z_Y_415={0x0101,0x0000} (wild) setzt[0x000A]Z-Wechseldich ein!
ATKMSG_Z_E_415={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wechseldich ein!
ATKMSG_Z_N_415={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wechseldich ein!
ATKMSG_Z_M_416={0x0101,0x0000} setzt[0x000A]Z-Gigastoß ein!
ATKMSG_Z_Y_416={0x0101,0x0000} (wild) setzt[0x000A]Z-Gigastoß ein!
ATKMSG_Z_E_416={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Gigastoß ein!
ATKMSG_Z_N_416={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Gigastoß ein!
ATKMSG_Z_M_417={0x0101,0x0000} setzt[0x000A]Z-Ränkeschmied ein!
ATKMSG_Z_Y_417={0x0101,0x0000} (wild) setzt[0x000A]Z-Ränkeschmied ein!
ATKMSG_Z_E_417={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ränkeschmied ein!
ATKMSG_Z_N_417={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ränkeschmied ein!
ATKMSG_Z_M_418={0x0101,0x0000} setzt[0x000A]Z-Patronenhieb ein!
ATKMSG_Z_Y_418={0x0101,0x0000} (wild) setzt[0x000A]Z-Patronenhieb ein!
ATKMSG_Z_E_418={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Patronenhieb ein!
ATKMSG_Z_N_418={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Patronenhieb ein!
ATKMSG_Z_M_419={0x0101,0x0000} setzt[0x000A]Z-Lawine ein!
ATKMSG_Z_Y_419={0x0101,0x0000} (wild) setzt[0x000A]Z-Lawine ein!
ATKMSG_Z_E_419={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Lawine ein!
ATKMSG_Z_N_419={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Lawine ein!
ATKMSG_Z_M_420={0x0101,0x0000} setzt[0x000A]Z-Eissplitter ein!
ATKMSG_Z_Y_420={0x0101,0x0000} (wild) setzt[0x000A]Z-Eissplitter ein!
ATKMSG_Z_E_420={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Eissplitter ein!
ATKMSG_Z_N_420={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Eissplitter ein!
ATKMSG_Z_M_421={0x0101,0x0000} setzt[0x000A]Z-Dunkelklaue ein!
ATKMSG_Z_Y_421={0x0101,0x0000} (wild) setzt[0x000A]Z-Dunkelklaue ein!
ATKMSG_Z_E_421={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Dunkelklaue ein!
ATKMSG_Z_N_421={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Dunkelklaue ein!
ATKMSG_Z_M_422={0x0101,0x0000} setzt[0x000A]Z-Donnerzahn ein!
ATKMSG_Z_Y_422={0x0101,0x0000} (wild) setzt[0x000A]Z-Donnerzahn ein!
ATKMSG_Z_E_422={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Donnerzahn ein!
ATKMSG_Z_N_422={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Donnerzahn ein!
ATKMSG_Z_M_423={0x0101,0x0000} setzt[0x000A]Z-Eiszahn ein!
ATKMSG_Z_Y_423={0x0101,0x0000} (wild) setzt[0x000A]Z-Eiszahn ein!
ATKMSG_Z_E_423={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Eiszahn ein!
ATKMSG_Z_N_423={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Eiszahn ein!
ATKMSG_Z_M_424={0x0101,0x0000} setzt[0x000A]Z-Feuerzahn ein!
ATKMSG_Z_Y_424={0x0101,0x0000} (wild) setzt[0x000A]Z-Feuerzahn ein!
ATKMSG_Z_E_424={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Feuerzahn ein!
ATKMSG_Z_N_424={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Feuerzahn ein!
ATKMSG_Z_M_425={0x0101,0x0000} setzt[0x000A]Z-Schattenstoß ein!
ATKMSG_Z_Y_425={0x0101,0x0000} (wild) setzt[0x000A]Z-Schattenstoß ein!
ATKMSG_Z_E_425={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schattenstoß ein!
ATKMSG_Z_N_425={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schattenstoß ein!
ATKMSG_Z_M_426={0x0101,0x0000} setzt[0x000A]Z-Schlammbombe ein!
ATKMSG_Z_Y_426={0x0101,0x0000} (wild) setzt[0x000A]Z-Schlammbombe ein!
ATKMSG_Z_E_426={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schlammbombe ein!
ATKMSG_Z_N_426={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schlammbombe ein!
ATKMSG_Z_M_427={0x0101,0x0000} setzt[0x000A]Z-Psychoklinge ein!
ATKMSG_Z_Y_427={0x0101,0x0000} (wild) setzt[0x000A]Z-Psychoklinge ein!
ATKMSG_Z_E_427={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Psychoklinge ein!
ATKMSG_Z_N_427={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Psychoklinge ein!
ATKMSG_Z_M_428={0x0101,0x0000} setzt[0x000A]Z-Zen-Kopfstoß ein!
ATKMSG_Z_Y_428={0x0101,0x0000} (wild) setzt[0x000A]Z-Zen-Kopfstoß ein!
ATKMSG_Z_E_428={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zen-Kopfstoß ein!
ATKMSG_Z_N_428={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zen-Kopfstoß ein!
ATKMSG_Z_M_429={0x0101,0x0000} setzt[0x000A]Z-Spiegelsalve ein!
ATKMSG_Z_Y_429={0x0101,0x0000} (wild) setzt[0x000A]Z-Spiegelsalve ein!
ATKMSG_Z_E_429={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Spiegelsalve ein!
ATKMSG_Z_N_429={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Spiegelsalve ein!
ATKMSG_Z_M_430={0x0101,0x0000} setzt[0x000A]Z-Lichtkanone ein!
ATKMSG_Z_Y_430={0x0101,0x0000} (wild) setzt[0x000A]Z-Lichtkanone ein!
ATKMSG_Z_E_430={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Lichtkanone ein!
ATKMSG_Z_N_430={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Lichtkanone ein!
ATKMSG_Z_M_431={0x0101,0x0000} setzt[0x000A]Z-Kraxler ein!
ATKMSG_Z_Y_431={0x0101,0x0000} (wild) setzt[0x000A]Z-Kraxler ein!
ATKMSG_Z_E_431={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kraxler ein!
ATKMSG_Z_N_431={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kraxler ein!
ATKMSG_Z_M_432={0x0101,0x0000} setzt[0x000A]Z-Auflockern ein!
ATKMSG_Z_Y_432={0x0101,0x0000} (wild) setzt[0x000A]Z-Auflockern ein!
ATKMSG_Z_E_432={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Auflockern ein!
ATKMSG_Z_N_432={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Auflockern ein!
ATKMSG_Z_M_433={0x0101,0x0000} setzt[0x000A]Z-Bizarroraum ein!
ATKMSG_Z_Y_433={0x0101,0x0000} (wild) setzt[0x000A]Z-Bizarroraum ein!
ATKMSG_Z_E_433={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Bizarroraum ein!
ATKMSG_Z_N_433={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Bizarroraum ein!
ATKMSG_Z_M_434={0x0101,0x0000} setzt[0x000A]Z-Draco Meteor ein!
ATKMSG_Z_Y_434={0x0101,0x0000} (wild) setzt[0x000A]Z-Draco Meteor ein!
ATKMSG_Z_E_434={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Draco Meteor ein!
ATKMSG_Z_N_434={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Draco Meteor ein!
ATKMSG_Z_M_435={0x0101,0x0000} setzt[0x000A]Z-Ladungsstoß ein!
ATKMSG_Z_Y_435={0x0101,0x0000} (wild) setzt[0x000A]Z-Ladungsstoß ein!
ATKMSG_Z_E_435={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ladungsstoß ein!
ATKMSG_Z_N_435={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ladungsstoß ein!
ATKMSG_Z_M_436={0x0101,0x0000} setzt[0x000A]Z-Flammensturm ein!
ATKMSG_Z_Y_436={0x0101,0x0000} (wild) setzt[0x000A]Z-Flammensturm ein!
ATKMSG_Z_E_436={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Flammensturm ein!
ATKMSG_Z_N_436={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Flammensturm ein!
ATKMSG_Z_M_437={0x0101,0x0000} setzt[0x000A]Z-Blättersturm ein!
ATKMSG_Z_Y_437={0x0101,0x0000} (wild) setzt[0x000A]Z-Blättersturm ein!
ATKMSG_Z_E_437={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Blättersturm ein!
ATKMSG_Z_N_437={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Blättersturm ein!
ATKMSG_Z_M_438={0x0101,0x0000} setzt[0x000A]Z-Blattgeißel ein!
ATKMSG_Z_Y_438={0x0101,0x0000} (wild) setzt[0x000A]Z-Blattgeißel ein!
ATKMSG_Z_E_438={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Blattgeißel ein!
ATKMSG_Z_N_438={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Blattgeißel ein!
ATKMSG_Z_M_439={0x0101,0x0000} setzt[0x000A]Z-Felswerfer ein!
ATKMSG_Z_Y_439={0x0101,0x0000} (wild) setzt[0x000A]Z-Felswerfer ein!
ATKMSG_Z_E_439={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Felswerfer ein!
ATKMSG_Z_N_439={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Felswerfer ein!
ATKMSG_Z_M_440={0x0101,0x0000} setzt[0x000A]Z-Giftstreich ein!
ATKMSG_Z_Y_440={0x0101,0x0000} (wild) setzt[0x000A]Z-Giftstreich ein!
ATKMSG_Z_E_440={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Giftstreich ein!
ATKMSG_Z_N_440={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Giftstreich ein!
ATKMSG_Z_M_441={0x0101,0x0000} setzt[0x000A]Z-Mülltreffer ein!
ATKMSG_Z_Y_441={0x0101,0x0000} (wild) setzt[0x000A]Z-Mülltreffer ein!
ATKMSG_Z_E_441={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Mülltreffer ein!
ATKMSG_Z_N_441={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Mülltreffer ein!
ATKMSG_Z_M_442={0x0101,0x0000} setzt[0x000A]Z-Eisenschädel ein!
ATKMSG_Z_Y_442={0x0101,0x0000} (wild) setzt[0x000A]Z-Eisenschädel ein!
ATKMSG_Z_E_442={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Eisenschädel ein!
ATKMSG_Z_N_442={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Eisenschädel ein!
ATKMSG_Z_M_443={0x0101,0x0000} setzt[0x000A]Z-Magnetbombe ein!
ATKMSG_Z_Y_443={0x0101,0x0000} (wild) setzt[0x000A]Z-Magnetbombe ein!
ATKMSG_Z_E_443={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Magnetbombe ein!
ATKMSG_Z_N_443={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Magnetbombe ein!
ATKMSG_Z_M_444={0x0101,0x0000} setzt[0x000A]Z-Steinkante ein!
ATKMSG_Z_Y_444={0x0101,0x0000} (wild) setzt[0x000A]Z-Steinkante ein!
ATKMSG_Z_E_444={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Steinkante ein!
ATKMSG_Z_N_444={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Steinkante ein!
ATKMSG_Z_M_445={0x0101,0x0000} setzt[0x000A]Z-Liebreiz ein!
ATKMSG_Z_Y_445={0x0101,0x0000} (wild) setzt[0x000A]Z-Liebreiz ein!
ATKMSG_Z_E_445={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Liebreiz ein!
ATKMSG_Z_N_445={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Liebreiz ein!
ATKMSG_Z_M_446={0x0101,0x0000} setzt[0x000A]Z-Tarnsteine ein!
ATKMSG_Z_Y_446={0x0101,0x0000} (wild) setzt[0x000A]Z-Tarnsteine ein!
ATKMSG_Z_E_446={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Tarnsteine ein!
ATKMSG_Z_N_446={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Tarnsteine ein!
ATKMSG_Z_M_447={0x0101,0x0000} setzt[0x000A]Z-Strauchler ein!
ATKMSG_Z_Y_447={0x0101,0x0000} (wild) setzt[0x000A]Z-Strauchler ein!
ATKMSG_Z_E_447={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Strauchler ein!
ATKMSG_Z_N_447={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Strauchler ein!
ATKMSG_Z_M_448={0x0101,0x0000} setzt[0x000A]Z-Geschwätz ein!
ATKMSG_Z_Y_448={0x0101,0x0000} (wild) setzt[0x000A]Z-Geschwätz ein!
ATKMSG_Z_E_448={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Geschwätz ein!
ATKMSG_Z_N_448={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Geschwätz ein!
ATKMSG_Z_M_449={0x0101,0x0000} setzt[0x000A]Z-Urteilskraft ein!
ATKMSG_Z_Y_449={0x0101,0x0000} (wild) setzt[0x000A]Z-Urteilskraft ein!
ATKMSG_Z_E_449={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Urteilskraft ein!
ATKMSG_Z_N_449={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Urteilskraft ein!
ATKMSG_Z_M_450={0x0101,0x0000} setzt[0x000A]Z-Käferbiss ein!
ATKMSG_Z_Y_450={0x0101,0x0000} (wild) setzt[0x000A]Z-Käferbiss ein!
ATKMSG_Z_E_450={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Käferbiss ein!
ATKMSG_Z_N_450={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Käferbiss ein!
ATKMSG_Z_M_451={0x0101,0x0000} setzt[0x000A]Z-Ladestrahl ein!
ATKMSG_Z_Y_451={0x0101,0x0000} (wild) setzt[0x000A]Z-Ladestrahl ein!
ATKMSG_Z_E_451={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ladestrahl ein!
ATKMSG_Z_N_451={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ladestrahl ein!
ATKMSG_Z_M_452={0x0101,0x0000} setzt[0x000A]Z-Holzhammer ein!
ATKMSG_Z_Y_452={0x0101,0x0000} (wild) setzt[0x000A]Z-Holzhammer ein!
ATKMSG_Z_E_452={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Holzhammer ein!
ATKMSG_Z_N_452={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Holzhammer ein!
ATKMSG_Z_M_453={0x0101,0x0000} setzt[0x000A]Z-Wasserdüse ein!
ATKMSG_Z_Y_453={0x0101,0x0000} (wild) setzt[0x000A]Z-Wasserdüse ein!
ATKMSG_Z_E_453={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wasserdüse ein!
ATKMSG_Z_N_453={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wasserdüse ein!
ATKMSG_Z_M_454={0x0101,0x0000} setzt[0x000A]Z-Schlagbefehl ein!
ATKMSG_Z_Y_454={0x0101,0x0000} (wild) setzt[0x000A]Z-Schlagbefehl ein!
ATKMSG_Z_E_454={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schlagbefehl ein!
ATKMSG_Z_N_454={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schlagbefehl ein!
ATKMSG_Z_M_455={0x0101,0x0000} setzt[0x000A]Z-Blockbefehl ein!
ATKMSG_Z_Y_455={0x0101,0x0000} (wild) setzt[0x000A]Z-Blockbefehl ein!
ATKMSG_Z_E_455={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Blockbefehl ein!
ATKMSG_Z_N_455={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Blockbefehl ein!
ATKMSG_Z_M_456={0x0101,0x0000} setzt[0x000A]Z-Heilbefehl ein!
ATKMSG_Z_Y_456={0x0101,0x0000} (wild) setzt[0x000A]Z-Heilbefehl ein!
ATKMSG_Z_E_456={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Heilbefehl ein!
ATKMSG_Z_N_456={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Heilbefehl ein!
ATKMSG_Z_M_457={0x0101,0x0000} setzt[0x000A]Z-Kopfstoß ein!
ATKMSG_Z_Y_457={0x0101,0x0000} (wild) setzt[0x000A]Z-Kopfstoß ein!
ATKMSG_Z_E_457={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kopfstoß ein!
ATKMSG_Z_N_457={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kopfstoß ein!
ATKMSG_Z_M_458={0x0101,0x0000} setzt[0x000A]Z-Doppelschlag ein!
ATKMSG_Z_Y_458={0x0101,0x0000} (wild) setzt[0x000A]Z-Doppelschlag ein!
ATKMSG_Z_E_458={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Doppelschlag ein!
ATKMSG_Z_N_458={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Doppelschlag ein!
ATKMSG_Z_M_459={0x0101,0x0000} setzt[0x000A]Z-Zeitenlärm ein!
ATKMSG_Z_Y_459={0x0101,0x0000} (wild) setzt[0x000A]Z-Zeitenlärm ein!
ATKMSG_Z_E_459={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zeitenlärm ein!
ATKMSG_Z_N_459={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zeitenlärm ein!
ATKMSG_Z_M_460={0x0101,0x0000} setzt[0x000A]Z-Raumschlag ein!
ATKMSG_Z_Y_460={0x0101,0x0000} (wild) setzt[0x000A]Z-Raumschlag ein!
ATKMSG_Z_E_460={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Raumschlag ein!
ATKMSG_Z_N_460={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Raumschlag ein!
